Prompt,Intent
Is the report.pdf file present in the current directory?,check
Can you verify if the data.csv file exists?,check
Does the log.txt file still exist in the folder?,check
Check if the 'summary.docx' file is available in the documents directory.,check
Can you tell me if the config.json file is in the config directory?,check
Is the backup.tar file already created in the backup folder?,check
Could you confirm the existence of the settings.ini file in the root directory?,check
Do we have the error.log file in the logs directory?,check
Please check if the README.md file is available in the project folder.,check
Is there an 'index.html' file in the website directory?,check
Is the 'archives' directory available?,check
Can you check if the 'photos' folder exists?,check
Does the 'temp_files' directory still exist?,check
Is the 'backup' directory present in the root folder?,check
Verify the existence of the 'data' directory in the current location.,check
Can you tell me if the 'logs' directory is created?,check
Is there a 'projects' folder in the current directory?,check
Check if the 'configurations' directory is available in the system.,check
Does the 'downloads' directory still exist on the disk?,check
Can you confirm whether the 'scripts' directory is present?,check
How do I check if a file named 'schedule.txt' exists?,check
"Verify if the file ""config.yaml"" exists in this directory.",check
"Can you check if ""data.csv"" is present in the ""datasets"" folder?",check
"Is there a ""log.txt"" file in this folder?",check
"Please check if ""summary.docx"" is available in the ""reports"" directory.",check
"I need to know if ""archive.zip"" is still in the folder.",check
"Confirm whether ""readme.md"" exists in the current directory.",check
"Sam wants to ensure that the ""final_draft.docx"" file is present before sending it to his professor. How can he check?",check
"Anna is unsure if she saved the ""meeting_notes.txt"" file in her ""documents"" folder. What should she do to check?",check
How to copy the file,copy
How do I copy a file from one folder to another?,copy
Is there a way to copy all images from one folder to another?,copy
How do I copy multiple files at once?,copy
Please copy all documents to the 'shared' directory.,copy
Can you copy the entire contents of one directory to another?,copy
Can you copy files based on their creation date?,copy
"How can I duplicate the file named ""report.docx""?",copy
"Please copy ""data.csv"" to the ""backup"" folder.",copy
"Is it possible to make a copy of the ""project.zip"" file in the ""archives"" directory?",copy
"I need to replicate ""summary.txt"" in another directory.",copy
"Copy the file ""image.png"" to the desktop.",copy
"Can you help me copy ""notes.txt"" to my USB drive?",copy
"Sarah needs to back up her ""designs.pptx"" presentation before making changes. How should she proceed?",copy
"John wants to create a copy of the ""sales_data.xlsx"" file in the ""monthly_reports"" folder.",copy
How do I check how many files are in a subdirectory?,count
How do I check the number of files in the 'downloads' folder?,count
I need to know how many files are in the 'music' folder.,count
"How many files are in the ""documents"" directory?",count
Can you count the number of .txt files in this folder?,count
"I need to know the total number of files in the ""images"" directory.",count
"Count the number of files present in the ""backup"" folder.",count
How many files are there in the current directory?,count
"Please count the files in the ""reports"" folder.",count
"Emma wants to find out how many PDF files are in her ""ebooks"" folder. How can she get this count?",count
"Jake is organizing his ""projects"" directory and needs to know the total number of files in it. What should he do?",count
Akash want create a directory,create_directory
Please create a new directory for project files.,create_directory
Can you help me create a new directory named 'Photos'?,create_directory
How do I create a directory for my assignments?,create_directory
I need to create a new folder called 'Archives'. Can you do that?,create_directory
How do I create multiple directories at once?,create_directory
How do I create a directory with a specific name?,create_directory
How do I move a file to a directory that doesn't exist yet?,create_directory
How do I create a nested directory structure?,create_directory
"Create a new directory called ""projects"".",create_directory
"How do I make a folder named ""backup"" in this location?",create_directory
"Can you create a ""reports"" directory inside the ""documents"" folder?",create_directory
"Please generate a directory named ""archives"" in the current path.",create_directory
"I need to create a new folder called ""data"".",create_directory
"How can I make a directory named ""scripts"" in this directory?",create_directory
"Sarah is starting a new project and needs to create a ""designs"" folder to store her work. How should she proceed?",create_directory
"John needs a dedicated ""resources"" directory within his ""projects"" folder. What steps should he take to create it?",create_directory
what is the proces of creating the file,create_file
"""How can I create a new text file in the current directory?""",create_file
"""Can you guide me on how to create a CSV file with specific content?""",create_file
"""What command would I use to create a blank file named report.txt?""",create_file
"""How do I create a Python script file in this directory?""",create_file
"""Is it possible to create a file with a specific extension, like .json?""",create_file
"""Can I create a file with today's date in its name? If so, how?""",create_file
"""How do I create multiple empty files at once in a directory?""",create_file
"""What are the steps to create a new file and write some initial content into it?""",create_file
"""How can I create a temporary file that gets deleted automatically after use?""",create_file
